


                                __________________________________________
                               |                                          |
                               | NUMERICAL ELECTROMAGNETICS CODE (nec2++) |
                               | Translated to 'C++' in Double Precision  |
                               |        Version 1.5.1 [2014-01-02]        |
                               |__________________________________________|



                                -------- STRUCTURE SPECIFICATION --------
                                COORDINATES MUST BE INPUT IN
                                METERS OR BE SCALED TO METERS
                                BEFORE STRUCTURE INPUT IS ENDED
  WIRE                                                                                 SEG FIRST  LAST  TAG
   No:        X1         Y1         Z1         X2         Y2         Z2       RADIUS   No:   SEG   SEG  No:

     1     -0.6096     0.6096     0.0000    -0.5080     0.6096     0.0000     0.0162     1     1     1    1
     2     -0.5080     0.6096     0.0000    -0.4064     0.6096     0.0000     0.0162     1     2     2    2
     3     -0.4064     0.6096     0.0000    -0.3048     0.6096     0.0000     0.0162     1     3     3    3
     4     -0.3048     0.6096     0.0000    -0.2032     0.6096     0.0000     0.0162     1     4     4    4
     5     -0.2032     0.6096     0.0000    -0.1016     0.6096     0.0000     0.0162     1     5     5    5
     6     -0.1016     0.6096     0.0000     0.0000     0.6096     0.0000     0.0162     1     6     6    6
     7      0.0000     0.6096     0.0000     0.1016     0.6096     0.0000     0.0162     1     7     7    7
     8      0.1016     0.6096     0.0000     0.2032     0.6096     0.0000     0.0162     1     8     8    8
     9      0.2032     0.6096     0.0000     0.3048     0.6096     0.0000     0.0162     1     9     9    9
    10      0.3048     0.6096     0.0000     0.4064     0.6096     0.0000     0.0162     1    10    10   10
    11      0.4064     0.6096     0.0000     0.5080     0.6096     0.0000     0.0162     1    11    11   11
    12      0.5080     0.6096     0.0000     0.6096     0.6096     0.0000     0.0162     1    12    12   12
    13     -0.6096     0.5080     0.0000    -0.5080     0.5080     0.0000     0.0162     1    13    13   13
    14     -0.5080     0.5080     0.0000    -0.4064     0.5080     0.0000     0.0162     1    14    14   14
    15     -0.4064     0.5080     0.0000    -0.3048     0.5080     0.0000     0.0162     1    15    15   15
    16     -0.3048     0.5080     0.0000    -0.2032     0.5080     0.0000     0.0162     1    16    16   16
    17     -0.2032     0.5080     0.0000    -0.1016     0.5080     0.0000     0.0162     1    17    17   17
    18     -0.1016     0.5080     0.0000     0.0000     0.5080     0.0000     0.0162     1    18    18   18
    19      0.0000     0.5080     0.0000     0.1016     0.5080     0.0000     0.0162     1    19    19   19
    20      0.1016     0.5080     0.0000     0.2032     0.5080     0.0000     0.0162     1    20    20   20
    21      0.2032     0.5080     0.0000     0.3048     0.5080     0.0000     0.0162     1    21    21   21
    22      0.3048     0.5080     0.0000     0.4064     0.5080     0.0000     0.0162     1    22    22   22
    23      0.4064     0.5080     0.0000     0.5080     0.5080     0.0000     0.0162     1    23    23   23
    24      0.5080     0.5080     0.0000     0.6096     0.5080     0.0000     0.0162     1    24    24   24
    25     -0.6096     0.4064     0.0000    -0.5080     0.4064     0.0000     0.0162     1    25    25   25
    26     -0.5080     0.4064     0.0000    -0.4064     0.4064     0.0000     0.0162     1    26    26   26
    27     -0.4064     0.4064     0.0000    -0.3048     0.4064     0.0000     0.0162     1    27    27   27
    28     -0.3048     0.4064     0.0000    -0.2032     0.4064     0.0000     0.0162     1    28    28   28
    29     -0.2032     0.4064     0.0000    -0.1016     0.4064     0.0000     0.0162     1    29    29   29
    30     -0.1016     0.4064     0.0000     0.0000     0.4064     0.0000     0.0162     1    30    30   30
    31      0.0000     0.4064     0.0000     0.1016     0.4064     0.0000     0.0162     1    31    31   31
    32      0.1016     0.4064     0.0000     0.2032     0.4064     0.0000     0.0162     1    32    32   32
    33      0.2032     0.4064     0.0000     0.3048     0.4064     0.0000     0.0162     1    33    33   33
    34      0.3048     0.4064     0.0000     0.4064     0.4064     0.0000     0.0162     1    34    34   34
    35      0.4064     0.4064     0.0000     0.5080     0.4064     0.0000     0.0162     1    35    35   35
    36      0.5080     0.4064     0.0000     0.6096     0.4064     0.0000     0.0162     1    36    36   36
    37     -0.6096     0.3048     0.0000    -0.5080     0.3048     0.0000     0.0162     1    37    37   37
    38     -0.5080     0.3048     0.0000    -0.4064     0.3048     0.0000     0.0162     1    38    38   38
    39     -0.4064     0.3048     0.0000    -0.3048     0.3048     0.0000     0.0162     1    39    39   39
    40     -0.3048     0.3048     0.0000    -0.2032     0.3048     0.0000     0.0162     1    40    40   40
    41     -0.2032     0.3048     0.0000    -0.1016     0.3048     0.0000     0.0162     1    41    41   41
    42     -0.1016     0.3048     0.0000     0.0000     0.3048     0.0000     0.0162     1    42    42   42
    43      0.0000     0.3048     0.0000     0.1016     0.3048     0.0000     0.0162     1    43    43   43
    44      0.1016     0.3048     0.0000     0.2032     0.3048     0.0000     0.0162     1    44    44   44
    45      0.2032     0.3048     0.0000     0.3048     0.3048     0.0000     0.0162     1    45    45   45
    46      0.3048     0.3048     0.0000     0.4064     0.3048     0.0000     0.0162     1    46    46   46
    47      0.4064     0.3048     0.0000     0.5080     0.3048     0.0000     0.0162     1    47    47   47
    48      0.5080     0.3048     0.0000     0.6096     0.3048     0.0000     0.0162     1    48    48   48
    49     -0.6096     0.2032     0.0000    -0.5080     0.2032     0.0000     0.0162     1    49    49   49
